,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95702,95703,2023-07-02 00:30:00,30,0,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95703,95704,2023-07-02 00:45:00,45,0,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95704,95705,2023-07-02 01:00:00,0,1,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95705,95706,2023-07-02 01:15:00,15,1,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95706,95707,2023-07-02 01:30:00,30,1,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95707,95708,2023-07-02 01:45:00,45,1,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95708,95709,2023-07-02 02:00:00,0,2,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95709,95710,2023-07-02 02:15:00,15,2,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95710,95711,2023-07-02 02:30:00,30,2,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95711,95712,2023-07-02 02:45:00,45,2,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95712,95713,2023-07-02 03:00:00,0,3,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95713,95714,2023-07-02 03:15:00,15,3,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95714,95715,2023-07-02 03:30:00,30,3,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95715,95716,2023-07-02 03:45:00,45,3,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95716,95717,2023-07-02 04:00:00,0,4,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95717,95718,2023-07-02 04:15:00,15,4,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95718,95719,2023-07-02 04:30:00,30,4,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95719,95720,2023-07-02 04:45:00,45,4,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95720,95721,2023-07-02 05:00:00,0,5,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95721,95722,2023-07-02 05:15:00,15,5,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95722,95723,2023-07-02 05:30:00,30,5,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95723,95724,2023-07-02 05:45:00,45,5,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95724,95725,2023-07-02 06:00:00,0,6,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95725,95726,2023-07-02 06:15:00,15,6,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95726,95727,2023-07-02 06:30:00,30,6,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95727,95728,2023-07-02 06:45:00,45,6,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95728,95729,2023-07-02 07:00:00,0,7,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95729,95730,2023-07-02 07:15:00,15,7,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95730,95731,2023-07-02 07:30:00,30,7,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95731,95732,2023-07-02 07:45:00,45,7,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95732,95733,2023-07-02 08:00:00,0,8,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95733,95734,2023-07-02 08:15:00,15,8,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95734,95735,2023-07-02 08:30:00,30,8,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95735,95736,2023-07-02 08:45:00,45,8,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95736,95737,2023-07-02 09:00:00,0,9,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95737,95738,2023-07-02 09:15:00,15,9,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95738,95739,2023-07-02 09:30:00,30,9,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95739,95740,2023-07-02 09:45:00,45,9,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95740,95741,2023-07-02 10:00:00,0,10,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95741,95742,2023-07-02 10:15:00,15,10,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95742,95743,2023-07-02 10:30:00,30,10,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95743,95744,2023-07-02 10:45:00,45,10,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95744,95745,2023-07-02 11:00:00,0,11,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95745,95746,2023-07-02 11:15:00,15,11,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95746,95747,2023-07-02 11:30:00,30,11,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95747,95748,2023-07-02 11:45:00,45,11,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95748,95749,2023-07-02 12:00:00,0,12,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95749,95750,2023-07-02 12:15:00,15,12,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
